"n_date";"n_trans";"n_town";"n_district";"n_views";"n_department";"n_currency";"n_paid";"n_title"
"2015-11-01";"Customs Check and Clearance";"Abohar
                      ";" Punjab";"93 ";"Customs, Excise and Service Tax";" INR";100;"
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Abohar.
                    "
"2015-11-01";"Birth Certificate";"Abhayapuri
                      ";" Assam";"84 ";"Municipal Services";" INR";345;"
                      I Paid Rs. 345 to Municipal Services in Abhayapuri.
                    "
"2015-11-01";"Birth Certificate";"Achhnera
                      ";" Uttar Pradesh";"83 ";"Municipal Services";" INR";33;"
                      I Paid Rs. 33 to Municipal Services in Achhnera.
                    "
"2015-11-01";"C Form";"Abohar
                      ";" Punjab";"107 ";"Commercial Tax, Sales Tax, VAT";" INR";NA;"
                      I Paid Rs. 524001 to Commercial Tax, Sales Tax, VAT in Abohar.
                    "
"2015-11-01";"Traffic Violations";"New Delhi
                      ";" Delhi";"111 ";"Police";" INR";200;"
                      I Paid Rs. 200 to Police in New Delhi.
                    "
"2015-11-01";"Birth Certificate";"Mansa
                      ";" Punjab";"85 ";"Municipal Services";" INR";1000;"
                      I Paid Rs. 1000 to Municipal Services in Mansa.
                    "
"2015-11-01";"New PAN Card";"Rae Bareli
                      ";" Uttar Pradesh";"82 ";"Income Tax";" INR";108;"
                      I Paid Rs. 108 to Income Tax in Rae Bareli.
                    "
"2015-11-01";"Birth Certificate";"Dehradun
                      ";" Uttarakhand";"74 ";"Municipal Services";" INR";100;"
                      I Paid Rs. 100 to Municipal Services in Dehradun.
                    "
"2015-11-01";"New PAN Card";"Bhopal
                      ";" Madhya Pradesh";"59 ";"Income Tax";" INR";105;"
                      I Paid Rs. 105 to Income Tax in Bhopal.
                    "
"2015-11-01";"Others";"Bahraich
                      ";" Uttar Pradesh";"61 ";"Others";" INR";100;"
                      I Paid Rs. 100 to Others in Bahraich.
                    "
"2015-11-01";"Police Verification for Passport";"Kollam
                      ";" Kerala";"73 ";"Passport";" INR";1000;"
                      I Paid Rs. 1000 to Passport in Kollam.
                    "
"2015-11-01";"Birth Certificate";"Tikamgarh
                      ";" Madhya Pradesh";"62 ";"Municipal Services";" INR";NA;"
                      I Paid Rs. 8120303241 to Municipal Services in Tikamgarh.
                    "
"2015-11-01";"C Form";"Abohar
                      ";" Punjab";"63 ";"Commercial Tax, Sales Tax, VAT";" INR";12345;"
                      I Paid Rs. 12345 to Commercial Tax, Sales Tax, VAT in Abohar.
                    "
"2015-11-01";"Birth Certificate";"Imphal
                      ";" Manipur";"56 ";"Municipal Services";" INR";50;"
                      I Paid Rs. 50 to Municipal Services in Imphal.
                    "
"2015-11-01";"Birth Certificate";"Adari
                      ";" Uttar Pradesh";"44 ";"Municipal Services";" INR";100;"
                      I Paid Rs. 100 to Municipal Services in Adari.
                    "
"2015-11-01";"Filing FIR";"Kolar
                      ";" Karnataka";"64 ";"Police";" INR";10000;"
                      I Paid Rs. 10000 to Police in Kolar.
                    "
"2015-11-01";"Birth Certificate";"Achhnera
                      ";" Uttar Pradesh";"39 ";"Municipal Services";" INR";4552;"
                      I Paid Rs. 4552 to Municipal Services in Achhnera.
                    "
"2015-11-01";"Customs Check and Clearance";"Achhnera
                      ";" Uttar Pradesh";"46 ";"Customs, Excise and Service Tax";" INR";100;"
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Achhnera.
                    "
"2015-11-01";"Police Clearance Certificate";"Tirupati
                      ";" Andhra Pradesh";"60 ";"Passport";" INR";300;"
                      I paid Rs 300 to police conistable at his home in Tirupati
                    "
"2015-11-01";"Birth Certificate";"Kolkata
                      ";" West Bengal";"42 ";"Municipal Services";" INR";100;"
                      I Paid Rs. 100 to Municipal Services in Kolkata.
                    "
"2015-10-31";"Filing FIR";"Bangalore
                      ";" Karnataka";"94 ";"Police";" INR";1000;"
                      I Paid Rs. 1000 to Police in Bangalore.
                    "
"2015-10-31";"Birth Certificate";"Jhalawar
                      ";" Rajasthan";"68 ";"Municipal Services";" INR";1122;"
                      I Paid Rs. 1122 to Municipal Services in Jhalawar.
                    "
"2015-10-31";"Birth Certificate";"Goalpara
                      ";" Assam";"87 ";"Municipal Services";" INR";600;"
                      I Paid Rs. 600 to Municipal Services in Goalpara.
                    "
"2015-10-31";"Others";"Chittoor
                      ";" Andhra Pradesh";"98 ";"Others";" INR";400;"
                      I Paid Rs. 400 to Others in Chittoor.
                    "
"2015-10-31";"Police Clearance Certificate";"Mumbai
                      ";" Maharashtra";"93 ";"Police";" INR";200;"
                      Bribe for passport verification 
                    "
"2015-10-31";"C Form";"Gurgaon
                      ";" Haryana";"73 ";"Commercial Tax, Sales Tax, VAT";" INR";1000;"
                      I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Gurgaon.
                    "
"2015-10-31";"C Form";"Abohar
                      ";" Punjab";"69 ";"Commercial Tax, Sales Tax, VAT";" INR";100;"
                      I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Abohar.
                    "
"2015-10-31";"Customs Check and Clearance";"Abhayapuri
                      ";" Assam";"69 ";"Customs, Excise and Service Tax";" INR";500;"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Abhayapuri.
                    "
"2015-10-31";"New PAN Card";"Bangalore
                      ";" Karnataka";"66 ";"Income Tax";" INR";200;"
                      I Paid Rs. 200 to Income Tax in Bangalore.
                    "
"2015-10-31";"Birth Certificate";"Lucknow
                      ";" Uttar Pradesh";"46 ";"Municipal Services";" INR";NA;"
                      I Paid Rs. 100000 to Municipal Services in Lucknow.
                    "
"2015-10-31";"Police Verification for Passport";"Anantapur
                      ";" Andhra Pradesh";"60 ";"Passport";" INR";500;"
                      I Paid Rs. 500 to Passport in Anantapur.
                    "
"2015-10-31";"Birth Certificate";"Mumbai
                      ";" Maharashtra";"68 ";"Municipal Services";" INR";50000;"
                      I Paid Rs. 50000 to Municipal Services in Mumbai.
                    "
"2015-10-31";"Birth Certificate";"Ahmedabad
                      ";" Gujarat";"57 ";"Municipal Services";" INR";13;"
                      I Paid Rs. 13 to Municipal Services in Ahmedabad.
                    "
"2015-10-31";"Customs Check and Clearance";"Gorakhpur
                      ";" Uttar Pradesh";"70 ";"Customs, Excise and Service Tax";" INR";100;"
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Gorakhpur.
                    "
"2015-10-31";"Birth Certificate";"Bareilly
                      ";" Uttar Pradesh";"64 ";"Municipal Services";" INR";10000;"
                      I Paid Rs. 10000 to Municipal Services in Bareilly.
                    "
"2015-10-31";"Duplicate Registration Certificate";"Abohar
                      ";" Punjab";"61 ";"Transport";" INR";100;"
                      I Paid Rs. 100 to Transport in Abohar.
                    "
"2015-10-31";"Traffic Violations";"New Delhi
                      ";" Delhi";"54 ";"Police";" INR";100;"
                      I Paid Rs. 100 to Police in New Delhi.
                    "
"2015-10-31";"Birth Certificate";"Adari
                      ";" Uttar Pradesh";"48 ";"Municipal Services";" INR";210;"
                      I Paid Rs. 210 to Municipal Services in Adari.
                    "
"2015-10-31";"Issue of Ration Card";"Chennai
                      ";" Tamil Nadu";"53 ";"Food, Civil Supplies and Consumer Affairs";" INR";100;"
                      I Paid Rs. 100 to Food, Civil Supplies and Consumer Affairs in Chennai.
                    "
"2015-10-31";"Birth Certificate";"Nagpur
                      ";" Maharashtra";"48 ";"Municipal Services";" INR";40;"
                      I Paid Rs. 40 to Municipal Services in Nagpur.
                    "
"2015-10-31";"Others";"Hyderabad
                      ";" Telangana";"46 ";"Others";" INR";10000;"
                      I Paid Rs. 10000 to Others in Hyderabad.
                    "
"2015-10-31";"Traffic Violations";"Akola
                      ";" Madhya Pradesh";"44 ";"Police";" INR";100;"
                      I Paid Rs. 100 to Police in Akola.
                    "
"2015-10-31";"New PAN Card";"Barabanki
                      ";" Uttar Pradesh";"42 ";"Income Tax";" INR";1;"
                      I Paid Rs. 1 to Income Tax in Barabanki.
                    "
"2015-10-31";"C Form";"Abhayapuri
                      ";" Assam";"40 ";"Commercial Tax, Sales Tax, VAT";" INR";10;"
                      I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Abhayapuri.
                    "
"2015-10-31";"Birth Certificate";"Akola
                      ";" Madhya Pradesh";"36 ";"Municipal Services";" INR";25;"
                      I Paid Rs. 25 to Municipal Services in Akola.
                    "
"2015-10-31";"Registration of Flat or Apartment";"Pune
                      ";" Maharashtra";"68 ";"Stamps and Registration";" INR";5000;"
                      I Paid Rs. 5000 to Stamps and Registration in Pune.
                    "
"2015-10-31";"Birth Certificate";"Bhubaneswar
                      ";" Orissa";"36 ";"Municipal Services";" INR";1;"
                      I Paid Rs. 1 to Municipal Services in Bhubaneswar.
                    "
"2015-10-31";"VAT Registration";"New Delhi
                      ";" Delhi";"77 ";"Commercial Tax, Sales Tax, VAT";" INR";10000;"
                      No way of getting out of this :(
                    "
"2015-10-31";"Birth Certificate";"Abhayapuri
                      ";" Assam";"59 ";"Municipal Services";" INR";100;"
                      I Paid Rs. 100 to Municipal Services in Abhayapuri.
                    "
"2015-10-31";"Birth Certificate";"Abhayapuri
                      ";" Assam";"53 ";"Municipal Services";" INR";450;"
                      I Paid Rs. 450 to Municipal Services in Abhayapuri.
                    "
"2015-10-31";"New PAN Card";"Madurai
                      ";" Tamil Nadu";"60 ";"Income Tax";" INR";10;"
                      I Paid Rs. 10 to Income Tax in Madurai.
                    "
"2015-10-30";"Others";"Kozhikode
                      ";" Kerala";"89 ";"Others";" INR";15;"
                      I Paid Rs. 15 to Others in Kozhikode.
                    "
"2015-10-30";"Birth Certificate";"Gorakhpur
                      ";" Uttar Pradesh";"81 ";"Municipal Services";" INR";200;"
                      I Paid Rs. 200 to Municipal Services in Gorakhpur.
                    "
"2015-10-30";"Birth Certificate";"Achhnera
                      ";" Uttar Pradesh";"96 ";"Municipal Services";" INR";300;"
                      I Paid Rs. 300 to Municipal Services in Achhnera.
                    "
"2015-10-30";"Birth Certificate";"Thane
                      ";" Maharashtra";"79 ";"Municipal Services";" INR";777;"
                      I Paid Rs. 777 to Municipal Services in Thane.
                    "
"2015-10-30";"Passport Delivery";"Pune
                      ";" Maharashtra";"95 ";"Passport";" INR";100;"
                      I Paid Rs. 100 to Passport in Pune.
                    "
"2015-10-30";"Others";"Amritsar
                      ";" Punjab";"80 ";"Others";" INR";65;"
                      I Paid Rs. 65 to Others in Amritsar.
                    "
"2015-10-30";"Birth Certificate";"Nashik
                      ";" Maharashtra";"67 ";"Municipal Services";" INR";5000;"
                      I Paid Rs. 5000 to Municipal Services in Nashik.
                    "
"2015-10-30";"Birth Certificate";"Mangalore
                      ";" Karnataka";"68 ";"Municipal Services";" INR";1995;"
                      I Paid Rs. 1995 to Municipal Services in Mangalore.
                    "
"2015-10-30";"Birth Certificate";"Abhayapuri
                      ";" Assam";"51 ";"Municipal Services";" INR";200;"
                      I Paid Rs. 200 to Municipal Services in Abhayapuri.
                    "
"2015-10-30";"Others";"Gonda
                      ";" Uttar Pradesh";"57 ";"Others";" INR";NA;"
                      I Paid Rs. 272165 to Others in Gonda.
                    "
"2015-10-30";"C Form";"Abohar
                      ";" Punjab";"53 ";"Commercial Tax, Sales Tax, VAT";" INR";33;"
                      I Paid Rs. 33 to Commercial Tax, Sales Tax, VAT in Abohar.
                    "
"2015-10-30";"Birth Certificate";"Jabalpur
                      ";" Madhya Pradesh";"58 ";"Municipal Services";" INR";10;"
                      I Paid Rs. 10 to Municipal Services in Jabalpur.
                    "
"2015-10-30";"New PAN Card";"Hingoli
                      ";" Maharashtra";"55 ";"Income Tax";" INR";500;"
                      I Paid Rs. 500 to Income Tax in Hingoli.
                    "
"2015-10-30";"Birth Certificate";"Achhnera
                      ";" Uttar Pradesh";"70 ";"Municipal Services";" INR";800;"
                      I Paid Rs. 800 to Municipal Services in Achhnera.
                    "
"2015-10-29";"Birth Certificate";"Mumbai
                      ";" Maharashtra";"79 ";"Municipal Services";" INR";16000;"
                      I Paid Rs. 16000 to Municipal Services in Mumbai.
                    "
"2015-10-29";"New Domestic Driving License";"New Delhi
                      ";" Delhi";"92 ";"Transport";" INR";123;"
                      I Paid Rs. 123 to Transport in New Delhi.
                    "
"2015-10-29";"Birth Certificate";"Abhayapuri
                      ";" Assam";"67 ";"Municipal Services";" INR";5000;"
                      I Paid Rs. 5000 to Municipal Services in Abhayapuri.
                    "
"2015-10-29";"Birth Certificate";"Pimpri-Chinchwad
                      ";" Maharashtra";"60 ";"Municipal Services";" INR";1000;"
                      I Paid Rs. 1000 to Municipal Services in Pimpri-Chinchwad.
                    "
"2015-10-29";"Others";"Ambattur
                      ";" Tamil Nadu";"72 ";"Others";" INR";500;"
                      I Paid Rs. 500 to Others in Ambattur.
                    "
"2015-10-29";"Others";"Cooch Behar
                      ";" West Bengal";"73 ";"Others";" INR";2000;"
                      I Paid Rs. 2000 to Others in Cooch Behar.
                    "
"2015-10-29";"Traffic Violations";"Surat
                      ";" Gujarat";"78 ";"Police";" INR";50;"
                      I Paid Rs. 50 to Police in Surat.
                    "
"2015-10-29";"Marriage Registration";"Chennai
                      ";" Tamil Nadu";"170 ";"Stamps and Registration";" INR";5000;"
                      I paid a bribe of Rs 5000 for Marriage  Registration
                    "
"2015-10-29";"Others";"Katihar
                      ";" Bihar";"73 ";"Others";" INR";NA;"
                      I Paid Rs. 123456 to Others in Katihar.
                    "
"2015-10-29";"New PAN Card";"Adilabad
                      ";" Telangana";"106 ";"Income Tax";" INR";8;"
                      I Paid Rs. 8 to Income Tax in Adilabad.
                    "
"2015-10-28";"Inspection of Office or Factories";"Gwalior
                      ";" Madhya Pradesh";"113 ";"Labour";" INR";5000;"
                      Mr Harsh Chaturvedi, Inspector of Factory Act 1948, Moti Mahal Gwalior
                    "
"2015-10-28";"Birth Certificate";"Thiruvananthapuram
                      ";" Kerala";"116 ";"Municipal Services";" INR";1000;"
                      I Paid Rs. 1000 to Municipal Services in Thiruvananthapuram.
                    "
"2015-10-28";"Non Availability Certificate";"Visakhapatnam
                      ";" Andhra Pradesh";"128 ";"Municipal Services";" INR";3000;"
                      I paid 3000/- for getting DOB certificate
                    "
"2015-10-28";"C Form";"Cuddapah
                      ";" Andhra Pradesh";"123 ";"Commercial Tax, Sales Tax, VAT";" INR";10;"
                      I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Cuddapah.
                    "
"2015-10-28";"Others";"Guwahati
                      ";" Assam";"109 ";"Others";" INR";10000;"
                      I Paid Rs. 10000 to Others in Guwahati.
                    "
"2015-10-28";"Others";"Sambalpur
                      ";" Orissa";"114 ";"Others";" INR";1200;"
                      I Paid Rs. 1200 to Others in Sambalpur.
                    "
"2015-10-28";"Customs Check and Clearance";"Kochi
                      ";" Kerala";"138 ";"Customs, Excise and Service Tax";" INR";1000;"
                      I Paid Rs. 1000 to Customs, Excise and Service Tax in Kochi.
                    "
"2015-10-28";"Birth Certificate";"Amarpur
                      ";" Bihar";"122 ";"Municipal Services";" INR";5000;"
                      I Paid Rs. 5000 to Municipal Services in Amarpur.
                    "
"2015-10-27";"C Form";"Achhnera
                      ";" Uttar Pradesh";"160 ";"Commercial Tax, Sales Tax, VAT";" INR";34;"
                      I Paid Rs. 34 to Commercial Tax, Sales Tax, VAT in Achhnera.
                    "
"2015-10-27";"Police Harassment";"Pune
                      ";" Maharashtra";"165 ";"Police";" INR";1000;"
                      I Paid Rs. 1000 to Police in Pune.
                    "
"2015-10-27";"Birth Certificate";"Achhnera
                      ";" Uttar Pradesh";"149 ";"Municipal Services";" INR";5000;"
                      I Paid Rs. 5000 to Municipal Services in Achhnera.
                    "
"2015-10-27";"Others";"Goalpara
                      ";" Assam";"139 ";"Others";" INR";1111;"
                      I Paid Rs. 1111 to Others in Goalpara.
                    "
"2015-10-27";"Birth Certificate";"Siliguri
                      ";" West Bengal";"130 ";"Municipal Services";" INR";23;"
                      I Paid Rs. 23 to Municipal Services in Siliguri.
                    "
"2015-10-27";"Customs Check and Clearance";"Mumbai
                      ";" Maharashtra";"140 ";"Customs, Excise and Service Tax";" INR";50;"
                      I Paid Rs. 50 to Customs, Excise and Service Tax in Mumbai.
                    "
"2015-10-27";"C Form";"Shahabad";" Hardoi
                      ";"140 ";"Commercial Tax, Sales Tax, VAT";" INR";200;"
                      I Paid Rs. 200 to Commercial Tax, Sales Tax, VAT in Shahabad, Hardoi.
                    "
"2015-10-27";"Birth Certificate";"Abohar
                      ";" Punjab";"146 ";"Municipal Services";" INR";100;"
                      I Paid Rs. 100 to Municipal Services in Abohar.
                    "
"2015-10-27";"C Form";"Jaipur
                      ";" Rajasthan";"129 ";"Commercial Tax, Sales Tax, VAT";" INR";10;"
                      I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Jaipur.
                    "
"2015-10-27";"Registration of Land";"Haveri
                      ";" Karnataka";"206 ";"Municipal Services";" INR";10000;"
                      Open bribe demanded by officers in shiggaon taluk, haveri district - property Registrar office
                    "
"2015-10-27";"Passport Delivery";"Gwalior
                      ";" Madhya Pradesh";"137 ";"Passport";" INR";100;"
                      I Paid Rs. 100 to Passport in Gwalior.
                    "
"2015-10-27";"Birth Certificate";"Achhnera
                      ";" Uttar Pradesh";"153 ";"Municipal Services";" INR";5000;"
                      I Paid Rs. 5000 to Municipal Services in Achhnera.
                    "
"2015-10-26";"Birth Certificate";"Mumbai
                      ";" Maharashtra";"148 ";"Municipal Services";" INR";10000;"
                      I Paid Rs. 10000 to Municipal Services in Mumbai.
                    "
"2015-10-26";"School or College Related Activities";"Madurai
                      ";" Tamil Nadu";"157 ";"Education";" INR";2500;"
                      Corrupt unashamed officers in Madurai DEO Office
                    "
"2015-10-26";"Birth Certificate";"Mumbai
                      ";" Maharashtra";"152 ";"Municipal Services";" INR";NA;"
                      I Paid Rs. 400054 to Municipal Services in Mumbai.
                    "
"2015-10-26";"Marriage Certificate";"New Delhi
                      ";" Delhi";"179 ";"Stamps and Registration";" INR";46;"
                      I Paid Rs. 46 to Stamps and Registration in New Delhi.
                    "
"2015-10-26";"Others";"Tezpur
                      ";" Assam";"141 ";"Others";" INR";18;"
                      I Paid Rs. 18 to Others in Tezpur.
                    "
"2015-10-26";"Birth Certificate";"Mumbai
                      ";" Maharashtra";"126 ";"Municipal Services";" INR";10;"
                      I Paid Rs. 10 to Municipal Services in Mumbai.
                    "
"2015-10-26";"Registration of Vehicle";"Bhubaneswar
                      ";" Orissa";"163 ";"Transport";" INR";3500;"
                      I Paid Rs. 3500 to Transport in Bhubaneswar.
                    "
"2015-10-26";"Police Harassment";"Etawah
                      ";" Uttar Pradesh";"144 ";"Police";" INR";123;"
                      I Paid Rs. 123 to Police in Etawah.
                    "
"2015-10-26";"Birth Certificate";"New Delhi
                      ";" Delhi";"112 ";"Municipal Services";" INR";NA;"
                      I Paid Rs. 200000 to Municipal Services in New Delhi.
                    "
"2015-10-26";"Police Harassment";"Bangalore
                      ";" Karnataka";"130 ";"Police";" INR";100;"
                      I Paid Rs. 100 to Police in Bangalore.
                    "
"2015-10-26";"Traffic Violations";"Madurai
                      ";" Tamil Nadu";"155 ";"Police";" INR";NA;"
                      I Paid Rs. 625000 to Police in Madurai.
                    "
"2015-10-26";"Others";"Indore
                      ";" Madhya Pradesh";"116 ";"Others";" INR";1;"
                      I Paid Rs. 1 to Others in Indore.
                    "
"2015-10-26";"Birth Certificate";"Anandnagaar
                      ";" Assam";"112 ";"Municipal Services";" INR";15000;"
                      I Paid Rs. 15000 to Municipal Services in Anandnagaar.
                    "
"2015-10-26";"Birth Certificate";"Kolkata
                      ";" West Bengal";"102 ";"Municipal Services";" INR";10;"
                      I Paid Rs. 10 to Municipal Services in Kolkata.
                    "
"2015-10-26";"Birth Certificate";"Gulbarga
                      ";" Karnataka";"105 ";"Municipal Services";" INR";23;"
                      I Paid Rs. 23 to Municipal Services in Gulbarga.
                    "
"2015-10-26";"Transport of Goods";"Abhayapuri
                      ";" Assam";"129 ";"Railways";" INR";20;"
                      I Paid Rs. 20 to Railways in Abhayapuri.
                    "
"2015-10-26";"Customs Check and Clearance";"Abhayapuri
                      ";" Assam";"125 ";"Customs, Excise and Service Tax";" INR";13;"
                      I Paid Rs. 13 to Customs, Excise and Service Tax in Abhayapuri.
                    "
"2015-10-26";"Birth Certificate";"Gurgaon
                      ";" Haryana";"95 ";"Municipal Services";" INR";10;"
                      I Paid Rs. 10 to Municipal Services in Gurgaon.
                    "
"2015-10-26";"Traffic Violations";"Bangalore
                      ";" Karnataka";"147 ";"Police";" INR";300;"
                      I Paid Rs. 300 to Police in Bangalore.
                    "
"2015-10-25";"C Form";"Abhayapuri
                      ";" Assam";"145 ";"Commercial Tax, Sales Tax, VAT";" INR";7000;"
                      I Paid Rs. 7000 to Commercial Tax, Sales Tax, VAT in Abhayapuri.
                    "
"2015-10-25";"Urban Land Ceiling Clearance Certificate";"Chikmagalur
                      ";" Karnataka";"141 ";"Revenue";" INR";35000;"
                      Bribe given to issue RTC of the land
                    "
"2015-10-25";"Land Registration";"Chikmagalur
                      ";" Karnataka";"421 ";"Stamps and Registration";" INR";35000;"
                      The Sub Registrar collected INR 35000 before registration of the land 
                    "
"2015-10-25";"Police Verification for Passport";"New Delhi
                      ";" Delhi";"242 ";"Passport";" INR";250;"
                      I paid a bribe to a police officer
                    "
"2015-10-25";"Birth Certificate";"Pune
                      ";" Maharashtra";"162 ";"Municipal Services";" INR";120;"
                      I Paid Rs. 120 to Municipal Services in Pune.
                    "
"2015-10-25";"Immigration Check";"Hyderabad
                      ";" Telangana";"187 ";"Airports";" INR";2000;"
                      Bribe paid to Customs Officials at Hyderabad International Airport
                    "
"2015-10-25";"Birth Certificate";"Hyderabad
                      ";" Telangana";"178 ";"Municipal Services";" INR";100;"
                      I Paid Rs. 100 to Municipal Services in Hyderabad.
                    "
"2015-10-25";"Birth Certificate";"Chennai
                      ";" Tamil Nadu";"184 ";"Municipal Services";" INR";25;"
                      I Paid Rs. 25 to Municipal Services in Chennai.
                    "
"2015-10-25";"Birth Certificate";"Aurangabad
                      ";" Maharashtra";"163 ";"Municipal Services";" INR";NA;"
                      I Paid Rs. 500000 to Municipal Services in Aurangabad.
                    "
"2015-10-24";"Birth Certificate";"Ulhasnagar
                      ";" Maharashtra";"147 ";"Municipal Services";" INR";100;"
                      I Paid Rs. 100 to Municipal Services in Ulhasnagar.
                    "
"2015-10-24";"New PAN Card";"Chennai
                      ";" Tamil Nadu";"181 ";"Income Tax";" INR";2000;"
                      I Paid Rs. 2000 to Income Tax in Chennai.
                    "
"2015-10-24";"Traffic Violations";"New Delhi
                      ";" Delhi";"194 ";"Police";" INR";100;"
                      I Paid Rs. 100 to Police in New Delhi.
                    "
"2015-10-24";"Birth Certificate";"Thiruvananthapuram
                      ";" Kerala";"145 ";"Municipal Services";" INR";1999;"
                      I Paid Rs. 1999 to Municipal Services in Thiruvananthapuram.
                    "
"2015-10-24";"Birth Certificate";"Kolkata
                      ";" West Bengal";"141 ";"Municipal Services";" INR";NA;"
                      I Paid Rs. 300000 to Municipal Services in Kolkata.
                    "
"2015-10-24";"Birth Certificate";"Chennai
                      ";" Tamil Nadu";"142 ";"Municipal Services";" INR";100;"
                      I Paid Rs. 100 to Municipal Services in Chennai.
                    "
"2015-10-24";"Registration of Property";"Mumbai
                      ";" Maharashtra";"195 ";"Stamps and Registration";" INR";NA;"
                      I Paid Rs. 800000 to Stamps and Registration in Mumbai.
                    "
"2015-10-24";"Birth Certificate";"Abhayapuri
                      ";" Assam";"145 ";"Municipal Services";" INR";100;"
                      I Paid Rs. 100 to Municipal Services in Abhayapuri.
                    "
"2015-10-24";"Duplicate Registration Certificate";"New Delhi
                      ";" Delhi";"205 ";"Transport";" INR";248;"
                      I Paid Rs. 248 to Transport in New Delhi.
                    "
"2015-10-24";"Others";"Dadri
                      ";" Uttar Pradesh";"152 ";"Others";" INR";NA;"
                      I Paid Rs. 123456 to Others in Dadri.
                    "
"2015-10-24";"Birth Certificate";"Bhopal
                      ";" Madhya Pradesh";"120 ";"Municipal Services";" INR";10;"
                      I Paid Rs. 10 to Municipal Services in Bhopal.
                    "
"2015-10-24";"Filing FIR";"Lucknow
                      ";" Uttar Pradesh";"141 ";"Police";" INR";500;"
                      I Paid Rs. 500 to Police in Lucknow.
                    "
"2015-10-24";"Birth Certificate";"Mumbai
                      ";" Maharashtra";"122 ";"Municipal Services";" INR";12000;"
                      I Paid Rs. 12000 to Municipal Services in Mumbai.
                    "
"2015-10-24";"Lodging Police Complaint";"Ghaziabad
                      ";" Uttar Pradesh";"141 ";"Police";" INR";8000;"
                      For taking  an action on filed complaint.
                    "
"2015-10-24";"Birth Certificate";"Adilabad
                      ";" Telangana";"104 ";"Municipal Services";" INR";100;"
                      I Paid Rs. 100 to Municipal Services in Adilabad.
                    "
"2015-10-24";"Birth Certificate";"Abhayapuri
                      ";" Assam";"118 ";"Municipal Services";" INR";150;"
                      I Paid Rs. 150 to Municipal Services in Abhayapuri.
                    "
"2015-10-24";"Customs Check and Clearance";"Gwalior
                      ";" Madhya Pradesh";"100 ";"Customs, Excise and Service Tax";" INR";100;"
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Gwalior.
                    "
