"name","party","storkreds","lokalkreds","ran.last.election","age","sex","title","location","pers.votes","UDDANNELSE__Efter folkeskolereformen får eleverne for lange skoledage","FOREBYGGELSE__Afgiften på cigaretter skal sættes op","SUNDHED__Et besøg hos den praktiserende læge skal koste eksempelvis 100 kr.","VELFÆRD__Mere af ældreplejen skal udliciteres til private virksomheder","ARBEJDSMARKED__Man skal hurtigere kunne genoptjene retten til dagpenge","ARBEJDSMARKED__Virksomheder skal kunne drages til ansvar for, om deres udenlandske underleverandører i Danmark overholder danske regler om løn, moms og skat","ØKONOMI__Vækst i den offentlige sektor er vigtigere end skattelettelser","TRAFIK__Investeringer i kollektiv trafik skal prioriteres højere end investeringer til fordel for privatbilisme","RET__Straffen for grov vold og voldtægt skal skærpes","SOCIAL__Kontanthjælpen skal sænkes, så den økonomiske gevinst ved at arbejde bliver større","INTEGRATION__Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter","EU__EU bestemmer for meget i forhold til dansk lov","UDVIKLING__Ulandsbistanden skal sænkes","KULTUR__Den offentlige kulturstøtte skal sænkes"
"Karin Storgård","dansk folkeparti","Københavns "," Østerbro"," Ja ",75," Kvinde "," Selvstændig "," 2100 København Ø",573,"Helt enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Hverken enig eller uenig"
"Preben Bille Brahe","dansk folkeparti","Københavns "," Valby"," Nej ",51," Mand "," Kaptajn "," 2942 Skodsborg",272,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig"
"Jette Plesner Dali","dansk folkeparti","Københavns "," Slots"," Ja ",66," Kvinde "," Lægesekretær "," 2000 Frederiksberg",598,"Hverken enig eller uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig"
"Morten Dreyer","dansk folkeparti","Københavns "," Falkoner"," Ja ",68," Mand "," IT-konsulent "," 2791 Dragør",585,"Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist uenig"
"Søren Lund Hansen","dansk folkeparti","Københavns "," Vesterbro"," Nej ",41," Mand "," Logistikchef "," 4200 Slagelse",168,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig"
"Martin Henriksen","dansk folkeparti","Københavns "," Tårnby"," Ja ",35," Mand "," Chauffør "," 2791 Dragør",3094,"Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist enig"
"Paw Karslund","dansk folkeparti","Københavns "," Sundbyvester"," Ja ",42," Mand "," Flyportør "," 2791 Dragør",1301,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig"
"Else-Marie Madsen","dansk folkeparti","Københavns "," Indre By"," Nej ",65," Kvinde "," Efterlønsmodtager ","  Allerød",195,"Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Delvist enig"
"Githa Nelander","dansk folkeparti","Københavns "," Nørrebro"," Ja ",54," Kvinde "," Businesscoach "," 4700 Næstved",248,"Helt enig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist enig"
"Finn Rudaizky","dansk folkeparti","Københavns "," Sundbyøster"," Ja ",73," Mand "," Borgerrepræsentationsmedlem "," 1414 København K",1121,"Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist enig"
"Peter Skårup","dansk folkeparti","Københavns "," Brønshøj"," Ja ",51," Mand "," Sekretariatschef "," Ukendt",11402,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig"
"Jens Vornøe","dansk folkeparti","Københavns "," Utterslev"," Nej ",45," Mand "," Steward "," 2300 København S",337,"Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Colette Brix","venstre","Københavns "," Valby"," Ja ",65," Kvinde "," Selvstændig "," 2920 Charlottenlund",361,"Helt uenig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig"
"Martin Geertsen","venstre","Københavns "," Tårnby"," Ja ",45," Mand "," Cand.scient.pol. "," 2300 København S",2576,"Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Delvist enig"
"Michael Jellesmark","venstre","Københavns "," Sundbyvester"," Nej ",45," Mand "," Studerende "," 2770 Kastrup",197,"Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig"
"Karina Rohrberg Jessen","venstre","Københavns "," Vesterbro"," Nej ",49," Kvinde "," Selvstændig "," 2300 København S",1003,"Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig"
"Jan E. Jørgensen","venstre","Københavns "," Slots"," Ja ",50," Mand "," Advokat ","  Frederiksberg",3254,"Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig"
"Anahita Malakians","venstre","Københavns "," Utterslev"," Nej ",32," Kvinde "," Studerende ","  København NV",229,"Delvist enig","Helt uenig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Helt enig","Hverken enig eller uenig"
"Kåre Traberg Smidt","venstre","Københavns "," Nørrebro"," Nej ",43," Mand "," Advokat "," Ukendt",598,"Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig"
"Johanne Schmidt-Nielsen","enhedslisten","Københavns "," Nørrebro"," Ja ",31," Kvinde "," Studerende "," 2200 København N",40425,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Finn Sørensen","enhedslisten","Københavns "," Sundbyvester"," Ja ",68," Mand "," Arbejdsmand "," 2300 København S",998,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Pelle Dragsted","enhedslisten","Københavns "," Falkoner"," Nej ",40," Mand "," Politisk rådgiver "," 2000 Frederiksberg C",2599,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig"
"Rosa Lund","enhedslisten","Københavns "," Vesterbro, Indre By"," Ja ",28," Kvinde "," Studerende "," 2200 København N",1463,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Delvist uenig"
"Jette Gottlieb","enhedslisten","Københavns "," Indre By"," Nej ",67," Kvinde "," Vejleder ","  København K",724,"Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig"
"Sarah Glerup","enhedslisten","Københavns "," Tårnby"," Nej ",30," Kvinde "," Kommunikationsmedarbejder ","  Frederiksberg",866,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
